name,full_name,description,created_at,updated_at,created_by,updated_by
DLS,Department of Livestock Services,Department of Livestock Services,2022-10-26 13:14:01.503,2022-10-26 13:14:01.503,1,1
DoF,Department of Fisheries,Department of Fisheries,2022-10-26 13:14:01.503,2022-10-26 13:14:01.503,1,1
BFDC,Bangladesh Fisheries Development Corporation,Bangladesh Fisheries Development Corporation,2022-10-26 13:14:01.503,2022-10-26 13:14:01.503,1,1
BLRI,Bangladesh Livestock Research Institute,Bangladesh Livestock Research Institute,2022-10-26 13:14:01.503,2022-10-26 13:14:01.503,1,1
BFRI,Bangladesh Fisheries Research Institute,Bangladesh Fisheries Research Institute,2022-10-26 13:14:01.503,2022-10-26 13:14:01.503,1,1
BVC,Bangladesh Veterinary Council,Bangladesh Veterinary Council,2022-10-26 13:14:01.503,2022-10-26 13:14:01.503,1,1
MFA,Marine Fisheries Academy,Marine Fisheries Academy,2022-10-26 13:14:01.503,2022-10-26 13:14:01.503,1,1
MoFL,Ministry of Fisheries and Livestock,Ministry of Fisheries and Livestock,2022-10-26 13:14:01.503,2022-10-26 13:14:01.503,1,1
