created_at,created_by,updated_at,updated_by,name,district_id
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Ramganj,7
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Rangunia,8
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Sitakunda,8
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Mirsharai,8
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Patiya,8
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Sandwip,8
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Banshkhali,8
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Boalkhali,8
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Anwara,8
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Chandanaish,8
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Satkania,8
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Lohagara,8
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Hathazari,8
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Fatikchhari,8
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Raozan,8
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Karnafuli,8
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Coxsbazar Sadar,9
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Chakaria,9
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Kutubdia,9
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Ukhiya,9
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Moheshkhali,9
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Pekua,9
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Ramu,9
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Teknaf,9
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Khagrachhari Sadar,10
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Dighinala,10
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Panchari,10
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Laxmichhari,10
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Mohalchari,10
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Manikchari,10
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Ramgarh,10
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Matiranga,10
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Guimara,10
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Bandarban Sadar,11
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Alikadam,11
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Naikhongchhari,11
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Rowangchhari,11
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Lama,11
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Ruma,11
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Thanchi,11
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Belkuchi,12
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Chauhali,12
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Kamarkhand,12
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Kazipur,12
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Raigonj,12
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Shahjadpur,12
